iso,botnet,blockchain,ddos,zday,rfid,vpn,tor,iot,condev,total
USA,6403,3472,6736,4624,8957,11355,6487,5977,15351,20254
CAN,1216,823,1414,850,1502,2427,1547,1141,3262,4440
GBR,1927,1120,2034,1184,1769,3093,1983,1813,4007,5089
FRA,8384,5966,11138,5990,9070,17297,13091,5770,26324,31985
FIN,120,80,133,100,128,178,167,125,187,217
MYS,67,58,103,58,113,177,90,92,218,325
IND,995,771,1112,684,1275,2352,1272,1877,3030,5822
IDN,144,93,232,93,185,450,231,226,555,1237
MEX,1404,1028,1901,1436,1020,3722,2327,1448,5119,6896
BOL,56,45,73,55,37,173,112,55,274,430
BGD,74,47,76,54,65,212,128,113,277,840
AUS,728,520,854,530,899,1520,861,746,1905,2455
PAK,64,47,80,45,71,169,81,86,224,480
EGY,26,19,39,22,19,77,47,38,80,307
DEU,10967,4651,9428,5670,8715,14359,11837,6694,18561,24979
TUN,44,37,67,37,42,111,70,52,170,281
PRT,118,82,140,95,114,225,150,130,255,317
URY,93,69,127,96,64,235,159,86,338,475
GRC,145,99,189,122,144,292,205,173,340,400
KEN,57,59,78,42,70,150,83,103,199,279
IRN,60,56,94,66,86,201,113,92,196,653
PHL,96,51,139,65,157,236,149,112,310,480
SRB,70,43,94,48,57,121,98,69,145,199
PAN,38,23,42,37,26,91,45,34,132,175
LUX,76,53,76,48,71,121,89,63,175,219
NGA,39,60,48,29,43,144,52,80,193,286
SWE,190,138,222,147,186,280,228,200,291,336
KHM,7,7,10,8,8,22,12,7,28,104
TUR,63,46,79,47,59,126,101,61,119,159
NOR,131,90,146,87,109,191,152,116,196,245
LKA,27,17,27,20,21,42,17,30,62,119
CHE,1167,948,1270,715,1204,2105,1551,949,2905,3697
POL,126,86,137,108,103,152,146,119,157,194
BRA,2472,1723,3455,1466,1956,6407,4012,2695,9600,13409
ARG,642,424,1027,580,439,1593,1116,672,2375,3262
ITA,5837,3824,7989,4086,5355,13592,9010,6133,22932,29006
HRV,76,54,93,55,71,132,96,75,140,180
BEL,674,434,892,454,638,1404,1034,507,1974,2537
AUT,859,546,903,540,766,1313,1089,698,1653,2155
ISR,65,45,88,46,63,120,89,70,135,160
PRI,17,12,29,18,18,48,29,22,71,106
ZAF,151,135,167,113,153,301,181,172,371,468
NLD,428,284,494,295,367,578,476,376,628,755
JPN,64,55,75,55,66,114,71,87,120,159
NPL,33,21,38,21,18,74,45,41,102,180
PER,125,124,197,135,93,419,256,157,611,911
THA,59,49,62,37,74,110,73,62,139,220
DNK,109,67,126,83,98,169,140,105,173,221
HUN,54,25,56,31,40,82,71,44,94,122
DZA,133,97,155,115,93,363,189,119,467,1114
MAR,107,91,146,98,90,297,182,93,395,809
CIV,37,29,47,30,30,138,64,39,193,307
RUS,122,95,141,86,87,149,135,99,144,187
BGR,63,42,80,50,49,110,76,68,124,158
MTQ,28,15,29,19,21,52,36,15,84,107
COL,383,415,587,434,303,1237,748,507,1691,2314
VEN,182,197,300,215,127,714,330,223,1086,1666
NIC,23,18,34,24,7,87,49,17,115,169
ECU,146,145,214,180,113,486,264,166,857,1341
CRI,101,84,145,101,77,268,170,110,348,440
CHL,296,203,481,271,209,783,561,309,1069,1417
GLP,15,14,24,10,24,51,32,15,78,102
ESP,1607,1143,2188,1380,1241,3321,2542,1652,4565,5851
GTM,92,53,136,88,46,238,152,91,338,438
REU,76,46,108,53,61,197,124,41,313,390
MDG,26,12,28,17,24,88,40,22,117,187
ROU,141,112,202,123,129,272,203,161,304,408
DOM,44,41,77,42,38,135,82,58,184,244
CMR,27,18,36,26,27,131,46,30,171,272
PRY,41,33,72,49,33,147,77,45,199,281
NCL,21,16,24,16,30,70,37,13,114,141
HND,32,28,59,35,20,121,62,30,146,203
SLV,56,36,94,80,34,190,116,65,265,369
CUB,21,14,21,30,9,51,25,19,69,107
CHN,29,30,46,30,41,83,52,45,79,107
CZE,72,48,97,59,70,120,94,88,126,150
NZL,193,122,186,121,196,326,183,175,446,587
SAU,21,12,29,11,23,65,37,26,59,107
IRL,146,100,167,93,140,255,191,148,300,368
ARE,44,33,65,31,55,104,52,58,111,155
SGP,56,48,75,36,81,117,69,71,134,173
GHA,19,17,21,9,17,57,18,19,66,105
SEN,21,13,23,19,11,70,31,19,105,192
VNM,34,22,44,25,20,58,42,50,69,140
MMR,8,5,14,8,11,31,15,11,40,111
